soil_type,pH,nitrogen,phosphorus,potassium,organic_carbon,ec,rainfall,temperature,plant
Loamy,7.1,575,39,306,0.61,1.16,763.19,37.28,Neem
Loamy,7.11,464,52,136,0.41,1.3,775.25,30.89,Neem
Sandy,6.64,179,15,92,0.33,3.18,859.57,27.17,Neem
Sandy,7.09,409,10,240,1.01,2.66,864.99,33.63,Neem
Loamy,7.26,606,27,286,0.56,0.59,806.36,36.05,Neem
Sandy,7.63,328,52,384,0.42,1.82,618.41,31.05,Neem
Sandy,7.19,323,14,88,0.74,0.8,864.92,26.89,Neem
Loamy,7.77,211,34,84,0.79,3.19,712.61,25.68,Neem
Sandy,7.82,471,20,330,0.4,1.91,1047.06,29.65,Neem
Loamy,7.23,588,19,236,0.35,1.19,790.21,34.44,Neem
Sandy,6.65,344,11,364,0.94,0.28,801.65,33.82,Neem
Sandy,7.12,580,52,369,0.77,3.07,732.45,33.83,Neem
Loamy,6.94,263,48,216,0.51,0.5,607.0,34.32,Neem
Loamy,7.27,591,35,268,0.44,2.93,911.33,37.3,Neem
Loamy,7.16,567,58,270,1.06,1.15,883.04,32.55,Neem
Sandy,6.45,214,29,116,0.53,2.25,810.98,32.34,Neem
Sandy,7.34,691,31,172,0.55,0.85,1029.58,31.87,Neem
Loamy,7.23,328,23,303,0.55,1.36,942.52,30.99,Neem
Loamy,6.68,109,50,287,0.92,3.38,786.53,31.76,Neem
Loamy,7.11,193,45,356,1.17,1.92,759.49,29.94,Neem
Loamy,7.51,376,34,200,1.1,0.22,705.45,27.12,Neem
Loamy,7.3,471,35,123,1.05,2.01,856.83,27.15,Neem
Loamy,7.57,591,12,231,0.83,2.86,748.55,29.81,Neem
Sandy,6.95,264,55,186,1.0,2.46,654.15,28.73,Neem
Sandy,7.1,289,56,65,0.51,2.34,709.9,32.64,Neem
Loamy,7.21,260,47,63,0.35,1.99,1032.99,27.3,Neem
Sandy,7.32,494,38,371,0.53,2.88,802.18,27.64,Neem
Sandy,7.99,647,31,387,0.78,0.7,918.67,29.27,Neem
Sandy,7.34,689,7,63,0.47,1.12,673.59,25.35,Neem
Sandy,6.35,648,36,359,0.75,3.48,852.16,28.48,Neem
Loamy,7.9,457,16,100,0.57,1.24,883.99,30.99,Neem
Sandy,7.47,575,41,361,0.77,2.83,982.92,37.17,Neem
Loamy,6.86,585,50,121,1.03,1.05,716.92,29.88,Neem
Loamy,7.17,187,12,316,0.76,2.42,972.58,24.6,Neem
Loamy,6.53,324,13,331,0.89,0.47,939.47,25.85,Neem
Loamy,8.15,648,49,388,0.78,2.83,563.34,28.37,Neem
Sandy,7.49,196,44,59,0.62,1.22,708.29,30.22,Neem
Loamy,7.67,401,21,243,0.61,0.5,998.89,34.65,Neem
Loamy,7.57,244,39,152,0.31,0.35,924.29,31.38,Neem
Loamy,7.28,404,9,110,0.94,1.89,638.47,26.12,Neem
Sandy,7.89,325,17,97,0.43,2.36,596.32,29.14,Neem
Loamy,7.33,382,36,89,0.36,1.42,796.27,27.32,Neem
Loamy,7.31,427,23,365,0.33,2.62,1040.05,28.81,Neem
Sandy,7.64,549,58,263,0.34,1.6,922.51,34.27,Neem
Loamy,7.6,257,17,231,1.19,0.62,818.44,27.09,Neem
Sandy,7.51,279,45,359,1.0,0.36,912.72,29.1,Neem
Sandy,7.07,353,24,244,0.61,0.4,804.83,31.09,Neem
Sandy,7.45,442,23,287,0.81,2.64,882.89,37.88,Neem
Sandy,7.51,349,37,288,0.5,0.1,883.07,30.7,Neem
Sandy,6.57,275,49,96,0.99,2.75,899.49,33.41,Neem
Loamy,6.95,458,46,374,0.31,2.08,808.65,35.35,Neem
Sandy,6.46,146,44,130,0.65,0.39,951.06,30.48,Neem
Sandy,6.85,621,16,320,0.57,0.41,792.94,33.09,Neem
Sandy,7.26,470,28,130,1.17,1.65,641.38,35.04,Neem
Loamy,7.57,537,7,244,0.71,0.65,704.94,29.89,Neem
Loamy,7.49,258,31,338,0.33,0.43,740.82,35.64,Neem
Loamy,7.4,556,42,91,0.44,1.27,687.19,30.34,Neem
Sandy,7.66,678,17,272,1.2,0.13,837.07,32.32,Neem
Loamy,7.21,528,60,173,0.69,0.82,888.52,32.17,Neem
Loamy,7.33,561,5,396,1.12,3.42,795.43,31.23,Neem
Sandy,7.29,408,39,121,0.72,1.2,755.77,27.54,Neem
Loamy,6.78,680,20,240,1.03,3.45,811.5,28.05,Neem
Loamy,7.65,178,11,333,0.31,1.87,1007.4,29.45,Neem
Loamy,6.94,469,53,78,0.34,0.82,740.98,29.88,Neem
Sandy,6.97,543,48,291,1.2,0.61,778.99,29.09,Neem
Loamy,6.92,206,37,123,0.35,2.44,979.45,29.67,Neem
Sandy,7.44,589,6,138,0.79,0.47,660.49,26.03,Neem
Loamy,6.86,693,9,313,1.12,0.55,732.69,28.2,Neem
Sandy,7.17,491,59,149,0.41,0.62,585.99,28.6,Neem
Loamy,7.21,483,54,50,0.39,0.26,851.81,35.15,Neem
Sandy,7.08,662,10,225,0.86,2.92,827.46,27.63,Neem
Sandy,7.34,580,28,183,1.09,2.17,757.15,24.61,Neem
Sandy,7.04,592,27,261,1.02,2.37,805.55,25.04,Neem
Sandy,7.6,320,44,234,0.41,2.13,817.32,28.64,Neem
Sandy,7.04,533,59,296,1.19,1.53,648.24,30.89,Neem
Sandy,7.44,511,28,333,0.57,0.67,831.72,24.21,Neem
Loamy,7.32,228,41,357,0.43,1.3,961.16,32.32,Neem
Loamy,6.86,151,8,200,0.41,1.08,794.44,31.28,Neem
Loamy,7.62,546,6,120,0.86,0.36,717.27,23.94,Neem
Loamy,7.16,258,53,290,1.1,0.54,701.64,36.12,Neem
Loamy,6.57,506,11,193,0.95,2.7,833.17,31.31,Neem
Sandy,7.11,226,59,61,0.66,2.9,753.68,31.84,Neem
Loamy,6.85,308,34,76,0.62,3.03,716.21,25.01,Neem
Sandy,7.1,673,46,174,0.76,1.02,863.55,27.78,Neem
Sandy,7.25,381,52,169,1.17,1.01,709.09,31.44,Neem
Sandy,6.36,455,53,204,0.44,2.79,1044.63,29.07,Neem
Sandy,7.13,428,52,130,0.77,2.48,672.29,34.07,Neem
Sandy,6.26,393,46,358,0.48,1.34,810.83,32.58,Neem
Loamy,7.45,694,56,77,0.95,0.63,1005.87,30.48,Neem
Loamy,6.85,240,44,140,0.99,2.32,694.53,34.79,Neem
Sandy,7.79,183,56,250,0.31,2.92,887.57,27.55,Neem
Sandy,8.32,698,33,339,0.32,0.59,1012.66,27.65,Neem
Sandy,7.13,600,47,52,0.55,0.46,940.51,32.89,Neem
Sandy,7.52,297,13,366,1.01,0.2,694.17,30.34,Neem
Sandy,8.51,132,17,354,0.92,0.19,890.73,27.1,Neem
Sandy,7.82,446,26,86,0.34,0.9,857.84,25.63,Neem
Sandy,6.74,574,43,323,1.06,3.5,813.71,31.34,Neem
Sandy,7.63,580,12,330,0.72,2.74,909.99,28.48,Neem
Sandy,7.47,650,35,199,0.44,2.97,970.55,31.99,Neem
Loamy,7.28,570,5,349,0.63,1.14,756.14,35.36,Neem
Loamy,7.44,342,5,324,0.86,1.16,754.33,32.78,Neem
Sandy,7.11,373,18,304,0.46,0.69,719.09,32.22,Neem
Sandy,7.56,571,30,327,0.6,1.96,625.37,31.42,Neem
Loamy,7.39,213,53,256,0.3,0.22,850.93,32.96,Neem
Sandy,7.34,119,8,64,0.74,3.27,784.39,32.59,Neem
Sandy,6.28,157,14,128,0.42,1.11,580.0,29.89,Neem
Loamy,7.09,620,47,214,0.75,1.71,801.57,27.92,Neem
Loamy,6.82,105,32,114,0.77,0.46,647.03,28.05,Neem
Loamy,6.93,192,28,190,0.63,0.27,620.46,28.65,Neem
Sandy,6.53,507,20,321,1.2,1.18,842.87,30.08,Neem
Loamy,6.49,306,58,277,0.42,0.37,907.15,34.56,Neem
Sandy,7.27,456,23,75,0.65,2.69,752.14,25.37,Neem
Sandy,6.92,215,29,294,0.91,2.18,772.87,34.0,Neem
Loamy,7.49,553,28,133,0.79,1.48,873.55,31.0,Neem
Sandy,6.79,568,48,120,0.68,0.91,626.21,28.65,Neem
Sandy,7.2,117,12,146,0.9,2.06,802.16,31.8,Neem
Loamy,7.13,174,37,353,0.85,2.93,826.26,29.23,Neem
Loamy,7.19,518,60,293,0.35,3.22,664.37,31.21,Neem
Loamy,6.49,676,13,382,0.98,1.82,830.83,30.1,Neem
Loamy,7.87,351,51,171,0.53,2.73,927.55,28.4,Neem
Loamy,7.06,347,29,128,0.64,0.29,742.22,28.21,Neem
Sandy,7.53,479,23,395,1.0,1.04,964.51,32.82,Neem
Loamy,7.01,198,37,281,0.69,0.54,746.06,31.23,Neem
Sandy,7.47,378,41,336,0.78,0.65,887.52,31.26,Neem
Sandy,7.09,385,53,288,0.38,2.33,1027.88,29.77,Neem
Sandy,7.02,315,54,307,0.36,2.52,890.38,27.73,Neem
Sandy,6.95,111,36,284,0.86,1.66,981.91,27.9,Neem
Sandy,7.35,334,52,233,0.6,1.55,1009.93,27.5,Neem
Sandy,7.16,482,48,285,0.89,0.39,696.09,33.42,Neem
Sandy,6.76,364,32,202,0.97,2.56,734.73,35.91,Neem
Loamy,6.98,513,12,185,0.36,2.64,720.99,31.91,Neem
Sandy,7.61,604,22,279,1.19,0.24,900.47,35.86,Neem
Sandy,6.74,490,6,211,0.44,2.79,757.92,30.08,Neem
Sandy,7.53,569,49,85,0.97,1.1,692.78,31.24,Neem
Loamy,7.23,530,21,303,0.62,1.59,760.19,25.32,Neem
Sandy,6.97,553,57,315,0.81,1.31,728.51,25.41,Neem
Loamy,6.74,148,54,267,1.06,2.46,944.4,30.74,Neem
Sandy,6.79,107,18,108,0.57,2.24,1003.5,34.48,Neem
Sandy,6.93,597,38,124,0.47,1.93,766.43,32.91,Neem
Loamy,7.63,658,50,196,0.43,2.03,902.49,28.61,Neem
Loamy,7.62,415,8,379,0.66,3.45,838.47,27.36,Neem
Sandy,6.7,640,9,132,0.99,2.8,961.02,26.88,Neem
Loamy,7.11,124,14,236,1.07,1.17,886.94,29.24,Neem
Loamy,7.78,697,46,265,0.49,1.05,681.61,36.35,Neem
Sandy,7.09,273,48,390,1.09,0.99,835.45,27.48,Neem
Sandy,7.01,193,16,180,0.54,0.75,708.77,28.48,Neem
Loamy,6.84,191,32,353,1.16,1.37,796.63,27.02,Neem
Loamy,6.97,127,44,131,0.61,0.74,883.07,32.35,Neem
Sandy,7.42,346,6,122,0.35,1.96,741.92,27.95,Neem
Loamy,7.2,520,39,398,1.01,1.79,1183.82,31.26,Neem
Sandy,7.63,112,24,270,0.86,2.19,754.84,31.6,Neem
Loamy,6.9,493,32,130,0.31,2.03,746.57,24.43,Neem
Loamy,8.01,482,27,278,1.01,0.67,920.7,35.14,Neem
Sandy,7.22,448,60,77,1.13,2.89,686.21,25.62,Neem
Loamy,7.77,353,57,122,0.99,2.66,355.12,34.86,Neem
Sandy,7.53,635,34,96,0.32,0.56,838.39,27.43,Neem
Loamy,7.92,342,32,116,1.1,1.45,737.75,34.86,Neem
Sandy,7.22,265,42,240,0.74,1.67,836.82,31.76,Neem
Loamy,7.33,145,51,51,1.16,3.34,946.35,31.08,Neem
Sandy,7.39,462,13,80,0.35,3.19,1026.56,27.5,Neem
Sandy,6.61,667,23,395,0.81,2.09,794.38,29.92,Neem
Loamy,6.83,274,52,143,0.81,2.37,821.49,32.34,Neem
Loamy,7.09,216,22,237,0.95,2.15,702.67,30.12,Neem
Sandy,6.87,595,59,395,0.3,1.93,683.93,27.93,Neem
Loamy,6.92,670,10,129,0.71,0.75,790.34,25.85,Neem
Sandy,7.18,170,21,223,0.75,0.12,915.26,23.37,Neem
Loamy,7.19,300,7,171,0.8,0.41,751.86,27.91,Neem
Loamy,7.31,489,41,396,0.77,0.84,975.32,27.74,Neem
Sandy,7.39,238,51,389,1.16,2.27,644.14,22.91,Neem
Sandy,7.03,463,44,394,0.83,1.05,733.09,28.68,Neem
Sandy,7.39,269,53,329,1.18,2.01,641.9,30.69,Neem
Loamy,6.99,620,43,249,0.76,2.95,595.36,30.49,Neem
Sandy,7.48,387,30,162,0.77,1.96,619.98,31.07,Neem
Sandy,7.51,129,12,245,0.43,1.0,947.76,26.66,Neem
Loamy,6.89,546,56,142,0.55,0.39,868.06,26.47,Neem
Loamy,7.03,226,23,186,0.6,2.09,1017.07,30.16,Neem
Sandy,7.81,527,39,284,0.56,1.19,774.38,36.61,Neem
Loamy,7.07,662,29,323,1.2,1.86,734.81,29.67,Neem
Sandy,6.95,408,44,397,0.45,2.46,761.73,32.08,Neem
Sandy,6.97,685,35,384,0.5,1.64,832.59,24.44,Neem
Sandy,7.87,409,48,179,0.92,1.82,871.02,33.69,Neem
Loamy,7.6,202,42,354,1.1,2.89,610.79,30.7,Neem
Loamy,7.48,131,36,182,0.61,2.04,849.2,31.44,Neem
Loamy,7.35,521,54,80,0.49,1.05,859.14,34.53,Neem
Sandy,7.55,177,53,172,1.09,0.22,698.39,30.13,Neem
Loamy,7.58,633,9,185,0.35,1.89,900.26,29.54,Neem
Loamy,7.14,413,5,286,0.73,0.41,721.43,26.39,Neem
Sandy,7.05,289,16,83,0.58,1.98,911.27,34.18,Neem
Sandy,7.09,273,7,244,1.06,3.4,692.37,32.73,Neem
Sandy,7.22,566,27,303,0.57,0.81,544.14,34.64,Neem
Sandy,7.38,630,6,367,1.16,1.52,734.61,29.9,Neem
Sandy,7.73,454,24,57,0.69,1.67,529.4,31.66,Neem
Loamy,7.07,373,47,317,0.7,2.83,936.31,29.63,Neem
Sandy,7.26,574,40,159,0.59,0.11,943.94,33.84,Neem
Sandy,6.51,390,49,198,0.58,0.2,841.66,31.93,Neem
Loamy,6.51,199,33,239,0.54,1.51,894.72,26.46,Neem
Loamy,7.0,668,13,340,1.02,3.11,911.53,35.04,Neem
Sandy,7.97,538,8,225,0.54,0.89,765.56,35.37,Neem
Loamy,7.33,442,45,124,0.57,2.45,913.26,29.56,Neem
Sandy,7.38,591,52,223,0.82,1.35,731.75,32.33,Neem
Loamy,7.42,176,34,263,0.61,2.3,918.27,32.69,Neem
Loamy,7.38,573,26,215,0.67,1.6,689.91,31.95,Neem
Loamy,6.73,544,30,130,0.87,1.86,829.64,29.87,Neem
Loamy,7.8,621,54,198,0.9,1.14,1019.97,32.19,Neem
Sandy,6.86,252,18,311,1.12,1.43,686.91,29.66,Neem
Loamy,7.26,245,53,229,0.36,3.17,798.57,32.1,Neem
Sandy,7.24,559,20,229,0.5,3.31,963.56,29.72,Neem
Sandy,7.96,106,17,94,0.84,1.15,661.2,28.64,Neem
Loamy,7.78,135,46,353,0.62,2.33,905.67,29.85,Neem
Loamy,6.32,146,24,172,0.35,1.52,966.68,30.85,Neem
Sandy,7.12,406,49,283,0.59,0.81,696.68,30.66,Neem
Loamy,6.7,550,23,330,1.01,0.26,508.09,37.41,Neem
Loamy,7.4,476,54,157,0.71,2.86,771.71,29.5,Neem
Sandy,6.95,144,6,69,1.2,2.43,716.18,33.78,Neem
Sandy,7.22,477,60,362,0.56,2.56,749.03,30.8,Neem
Loamy,6.96,268,29,367,0.41,0.33,832.15,29.67,Neem
Sandy,6.97,300,54,142,0.34,2.84,643.77,24.93,Neem
Sandy,6.96,482,42,56,0.39,0.48,623.6,27.54,Neem
Sandy,6.56,273,16,246,0.8,2.33,857.15,33.77,Neem
Sandy,6.66,617,42,338,0.92,2.96,922.97,29.25,Neem
Sandy,6.91,363,5,140,1.09,0.19,902.15,27.77,Neem
Sandy,8.55,518,60,249,0.78,1.7,847.1,28.55,Neem
Loamy,6.75,134,35,393,0.6,1.94,918.81,26.87,Neem
Loamy,7.14,430,56,294,1.03,1.26,752.99,29.6,Neem
Sandy,6.5,193,26,251,1.15,0.43,874.94,32.5,Neem
Loamy,7.76,294,26,166,0.43,1.5,811.52,26.67,Neem
Sandy,7.45,158,41,220,1.08,0.88,751.71,26.17,Neem
Loamy,7.65,164,60,211,0.56,1.39,568.24,29.89,Neem
Loamy,7.39,297,19,160,0.68,2.5,842.53,31.5,Neem
Loamy,7.56,528,44,260,0.63,2.6,796.06,26.77,Neem
Loamy,6.97,656,30,265,1.07,0.11,822.38,26.14,Neem
Sandy,6.63,664,18,384,1.18,2.23,492.1,30.93,Neem
Loamy,8.47,355,13,197,1.2,1.37,777.43,34.64,Neem
Sandy,7.09,288,42,342,1.08,0.22,951.65,34.78,Neem
Sandy,6.7,271,51,216,1.0,1.56,907.18,29.31,Neem
Sandy,7.49,250,17,149,1.12,2.47,676.07,30.73,Neem
Sandy,7.48,621,5,327,0.56,1.75,770.24,31.85,Neem
Loamy,7.25,154,37,307,0.39,0.13,668.32,26.05,Neem
Loamy,7.3,455,51,263,1.08,3.31,735.68,31.38,Neem
Sandy,7.24,165,46,146,0.74,2.46,647.53,26.53,Neem
Loamy,7.45,685,48,262,0.72,2.32,684.6,32.87,Neem
Loamy,7.37,227,59,226,0.7,1.42,897.27,30.06,Neem
Loamy,7.49,356,12,61,0.98,3.05,650.57,30.87,Neem
Sandy,7.22,265,20,290,1.07,2.45,512.1,32.81,Neem
Loamy,6.73,370,52,364,1.15,1.49,899.88,24.46,Neem
Loamy,7.44,208,9,72,0.83,1.64,864.14,25.99,Neem
Loamy,7.69,538,12,324,0.84,1.64,662.11,25.29,Neem
Sandy,7.77,147,25,375,0.44,0.39,812.73,25.28,Neem
Sandy,6.84,614,17,79,0.44,1.91,813.52,32.14,Neem
Sandy,7.13,634,39,349,1.03,2.09,873.57,26.53,Neem
Sandy,6.87,294,40,390,1.19,3.05,866.8,26.0,Neem
Sandy,6.66,619,19,362,0.35,0.25,754.89,27.95,Neem
Sandy,7.0,392,38,66,0.36,2.61,1044.67,27.86,Neem
Sandy,7.86,636,12,317,1.08,2.92,1046.11,26.69,Neem
Loamy,7.71,381,27,90,0.5,3.26,746.29,27.42,Neem
Sandy,6.83,549,58,364,0.98,2.69,910.49,30.89,Neem
Sandy,7.61,650,7,155,0.84,2.7,886.13,34.44,Neem
Sandy,7.27,493,59,146,1.09,3.01,793.65,30.93,Neem
Sandy,8.19,235,35,206,0.94,1.56,665.44,30.85,Neem
Sandy,6.73,688,55,347,0.45,1.89,819.13,34.33,Neem
Loamy,7.59,357,31,140,0.93,1.73,791.24,36.39,Neem
Sandy,6.3,506,7,374,0.35,2.92,879.38,33.68,Neem
Sandy,6.4,548,41,121,0.78,0.73,746.49,27.91,Neem
Loamy,6.25,465,47,191,0.39,0.14,750.45,28.35,Neem
Sandy,7.91,468,54,253,0.97,2.28,781.07,32.96,Neem
Loamy,6.47,549,54,249,0.98,2.91,739.31,30.86,Neem
Loamy,7.05,209,35,72,0.89,2.14,822.42,25.5,Neem
Loamy,7.74,494,20,313,0.75,1.61,754.75,27.59,Neem
Loamy,7.29,325,55,356,0.73,0.64,769.8,29.22,Neem
Sandy,7.5,427,12,289,1.19,0.46,886.7,27.88,Neem
Loamy,7.23,540,50,215,0.46,1.19,888.6,32.04,Neem
Loamy,6.34,465,36,263,0.31,3.42,781.19,30.59,Neem
Loamy,7.25,512,56,228,0.72,1.71,794.76,33.61,Neem
Sandy,6.73,598,20,392,1.16,3.27,944.42,25.23,Neem
Sandy,7.77,642,34,294,1.03,2.66,909.72,29.43,Neem
Loamy,6.82,664,9,77,0.83,2.24,733.05,34.56,Neem
Loamy,7.36,354,32,364,0.34,1.39,614.54,30.38,Neem
Loamy,7.73,162,17,141,0.42,3.33,810.15,30.63,Neem
Sandy,7.85,104,48,128,0.55,2.59,783.42,24.65,Neem
Sandy,7.02,534,48,163,0.79,1.46,772.16,38.86,Neem
Sandy,6.53,628,33,115,0.73,3.19,726.98,31.44,Neem
Loamy,7.18,589,40,321,0.98,2.36,827.43,31.58,Neem
Loamy,7.66,602,29,344,0.44,2.61,1053.26,25.49,Neem
Sandy,6.97,505,9,101,0.64,2.56,865.62,27.71,Neem
Sandy,6.2,658,58,174,0.61,2.27,960.01,32.94,Neem
Loamy,7.0,257,20,365,0.84,2.46,922.81,36.7,Neem
Sandy,7.83,451,41,312,1.18,2.77,605.21,31.11,Neem
Loamy,6.98,181,31,76,0.34,2.57,733.51,29.84,Neem
Loamy,7.87,194,39,337,0.49,3.33,874.8,27.25,Neem
Sandy,7.25,408,59,109,0.88,1.1,572.13,32.37,Neem
Sandy,7.31,137,12,235,1.19,0.29,675.2,30.91,Neem
Loamy,6.88,358,38,180,0.59,3.4,553.65,32.41,Neem
Loamy,7.42,256,47,130,0.81,1.12,704.98,30.06,Neem
Loamy,7.28,681,41,348,0.62,3.42,713.67,32.84,Neem
Loamy,6.3,567,32,50,0.61,0.15,858.35,31.39,Neem
Sandy,7.4,118,39,349,0.79,0.75,758.15,27.77,Neem
Sandy,7.59,206,21,275,0.61,0.28,825.27,25.37,Neem
Sandy,6.79,303,39,393,0.68,1.69,1023.4,32.95,Neem
Sandy,6.93,140,33,353,0.92,0.93,668.13,30.55,Neem
Sandy,7.21,477,50,186,0.48,0.41,936.47,26.82,Neem
Sandy,7.61,440,27,109,0.37,1.83,911.68,33.48,Neem
Loamy,8.31,613,45,105,0.93,0.14,555.99,28.44,Neem
Loamy,7.67,426,49,161,0.31,1.45,642.43,32.42,Neem
Loamy,7.33,265,31,139,1.05,1.47,726.58,27.82,Neem
Loamy,7.76,313,8,62,0.49,3.44,764.84,32.01,Neem
Loamy,7.93,382,35,332,0.32,3.45,903.26,31.68,Neem
Sandy,8.38,347,43,336,0.73,3.17,960.6,29.06,Neem
Loamy,7.46,277,46,279,1.1,0.66,782.43,27.57,Neem
Sandy,6.82,587,25,136,1.13,3.39,852.41,35.68,Neem
Sandy,7.27,589,48,368,0.31,1.73,962.68,32.69,Neem
Sandy,7.85,263,40,377,0.8,2.41,756.67,34.7,Neem
